Korean Word, Korean Sentence, English Sentence
안녕하세요, 안녕하세요 저는 학생입니다., Hello I am a student.
반갑습니다, 만나서 반갑습니다., Nice to meet you.
네, 네 저는 이해했어요., Yes I understand.
아니요, 아니요 저는 몰라요., No I don't know.
감사합니다, 도와주셔서 감사합니다., Thank you for helping.
고마워요, 정말 고마워요 친구야., Thank you my friend.
미안해요, 늦어서 미안해요., Sorry I am late.
주세요, 물을 주세요., Please give me water.
저는, 저는 학생입니다., I am a student.
제, 제 이름은 민수입니다., My name is Minsu.

가족, 제 가족은 네 명이에요., My family has four people.
부모님, 부모님은 집에 계세요., My parents are at home.
형제, 저는 형제가 있어요., I have siblings.
아버지, 아버지는 회사에 가세요., My father goes to work.
어머니, 어머니는 요리를 하세요., My mother cooks.
할아버지, 할아버지는 공원에 가세요., My grandfather goes to the park.
할머니, 할머니는 집에 계세요., My grandmother stays at home.
형, 형은 키가 커요., My older brother is tall.
누나, 누나는 친절해요., My older sister is kind.
오빠, 오빠는 학생이에요., My older brother is a student.
언니, 언니는 예뻐요., My older sister is pretty.
동생, 동생은 학교에 가요., My younger sibling goes to school.
남동생, 남동생은 축구를 해요., My younger brother plays soccer.
여동생, 여동생은 책을 읽어요., My younger sister reads a book.
남자, 그 사람은 남자예요., That person is a man.
여자, 그 사람은 여자예요., That person is a woman.
사람, 사람이 많아요., There are many people.
친구, 친구를 만나요., I meet a friend.
이름, 이름이 뭐예요?, What is your name?

나라, 저는 이 나라를 좋아해요., I like this country.
한국, 저는 한국에 가고 싶어요., I want to go to Korea.
미국, 미국은 멀어요., America is far.
일본, 일본에 친구가 있어요., I have a friend in Japan.
중국, 중국 음식은 맛있어요., Chinese food is delicious.
베트남, 베트남에 여행을 가요., I travel to Vietnam.
태국, 태국은 더워요., Thailand is hot.
말레이시아, 저는 말레이시아에 살아요., I live in Malaysia.
프랑스, 프랑스에 가고 싶어요., I want to go to France.
독일, 독일은 유명해요., Germany is famous.
이탈리아, 이탈리아 음식은 맛있어요., Italian food is delicious.
스페인, 스페인은 아름다워요., Spain is beautiful.
캐나다, 캐나다는 추워요., Canada is cold.
호주, 호주에 친구가 있어요., I have a friend in Australia.
인도, 인도 음식은 매워요., Indian food is spicy.
영국, 영국은 비가 많이 와요., England rains a lot.

직업, 제 직업은 학생이에요., My occupation is student.
선생님, 선생님은 친절해요., The teacher is kind.
요리사, 요리사는 음식을 만들어요., The chef cooks food.
의사, 의사는 병을 치료해요., The doctor treats illness.
학생, 저는 학생이에요., I am a student.
주부, 주부는 집에서 일해요., The housewife works at home.
가수, 가수는 노래를 불러요., The singer sings.
배우, 배우는 연기를 해요., The actor acts.
경찰관, 경찰관은 사람을 도와요., The police officer helps people.
회사원, 회사원은 회사에서 일해요., The office worker works at a company.
회사, 회사에 가요., I go to the company.
학교, 학교에 가요., I go to school.
교실, 교실에서 공부해요., I study in the classroom.
서점, 서점에서 책을 사요., I buy a book at the bookstore.
도서관, 도서관에서 공부해요., I study at the library.
병원, 병원에 가요., I go to the hospital.
대사관, 대사관에 가요., I go to the embassy.

가방, 가방을 들어요., I carry a bag.
사전, 사전을 사용해요., I use a dictionary.
전자사전, 전자사전을 사용해요., I use a digital dictionary.
모자, 모자를 써요., I wear a cap.
핸드폰, 핸드폰을 사용해요., I use a phone.
시계, 시계를 봐요., I look at the watch.
안경, 안경을 써요., I wear glasses.
연필, 연필로 써요., I write with a pencil.
지우개, 지우개로 지워요., I erase with an eraser.
책상, 책상 위에 책이 있어요., There is a book on the desk.
의자, 의자에 앉아요., I sit on a chair.
프린터, 프린터를 사용해요., I use a printer.
카메라, 카메라로 사진을 찍어요., I take photos with a camera.
신문, 신문을 읽어요., I read a newspaper.
볼펜, 볼펜으로 써요., I write with a pen.
컴퓨터, 컴퓨터를 사용해요., I use a computer.
종이, 종이에 써요., I write on paper.

음식, 음식을 먹어요., I eat food.
사과, 사과를 먹어요., I eat an apple.
레몬차, 레몬차를 마셔요., I drink lemon tea.
오렌지 주스, 오렌지 주스를 마셔요., I drink orange juice.
커피, 커피를 마셔요., I drink coffee.
사이다, 사이다를 마셔요., I drink cider.

집, 집에 있어요., I am at home.
화장실, 화장실에 가요., I go to the bathroom.
은행, 은행에 가요., I go to the bank.
식당, 식당에서 먹어요., I eat at a restaurant.
극장, 극장에서 영화를 봐요., I watch a movie at the cinema.
수영장, 수영장에서 수영해요., I swim at the pool.
체육관, 체육관에서 운동해요., I exercise at the gym.
커피숍, 커피숍에서 커피를 마셔요., I drink coffee at a cafe.
공항, 공항에 가요., I go to the airport.
백화점, 백화점에서 쇼핑해요., I shop at the department store.
태권도, 태권도를 배워요., I learn taekwondo.
테니스장, 테니스장에서 운동해요., I play at the tennis court.
층, 3층에 있어요., It is on the third floor.

생일, 오늘은 제 생일이에요., Today is my birthday.
월, 이번 월은 바빠요., This month is busy.
년, 올해는 2024년이에요., This year is 2024.
일, 오늘은 15일이에요., Today is the 15th.
오전, 오전에 공부해요., I study in the morning.
오후, 오후에 일해요., I work in the afternoon.
아침, 아침에 밥을 먹어요., I eat breakfast in the morning.
점심, 점심에 친구를 만나요., I meet a friend at lunch.
저녁, 저녁에 운동해요., I exercise in the evening.
밤, 밤에 자요., I sleep at night.
시, 지금 세 시예요., It is three o'clock now.
분, 십 분 기다려요., I wait ten minutes.
초, 일 초 기다려요., I wait one second.
오늘, 오늘은 날씨가 좋아요., The weather is good today.
어제, 어제는 바빴어요., Yesterday was busy.
내일, 내일 학교에 가요., I go to school tomorrow.
